,ID,Count
0,18288,411.716345895
1,18289,328.571183918
2,18290,278.072423978
3,18291,229.761309535
4,18292,193.390788575
5,18293,173.11665589
6,18294,186.147413851
7,18295,215.881832919
8,18296,248.601400356
9,18297,321.247327254
10,18298,455.974097109
11,18299,505.507073754
12,18300,510.862781124
13,18301,451.818302319
14,18302,483.103827892
15,18303,477.001833427
16,18304,464.82711066
17,18305,475.655590045
18,18306,487.362054244
19,18307,517.140372551
20,18308,496.954038347
21,18309,463.854010824
22,18310,465.536815052
23,18311,454.532738704
24,18312,392.346742483
25,18313,313.11322703
26,18314,264.990231284
27,18315,218.951961086
28,18316,184.292527319
29,18317,164.972211294
30,18318,177.389924336
31,18319,205.725458198
32,18320,236.905701167
33,18321,306.133928458
34,18322,434.522343942
35,18323,481.724992624
36,18324,486.828735435
37,18325,430.562062634
38,18326,460.37572966
39,18327,454.560809571
40,18328,442.958858698
41,18329,453.277901542
42,18330,464.433623534
43,18331,492.810991353
44,18332,473.574343242
45,18333,442.031539308
46,18334,443.635174345
47,18335,433.148795671
48,18336,377.91986873
49,18337,301.599827
50,18338,255.246348645
51,18339,210.900938971
52,18340,177.515957675
53,18341,158.906063656
54,18342,170.8671684
55,18343,198.160784169
56,18344,228.194507032
57,18345,294.87716229
58,18346,418.544642791
59,18347,464.01161591
60,18348,468.927690403
61,18349,414.729983894
62,18350,443.447380801
63,18351,437.846279533
64,18352,426.670940793
65,18353,436.610544961
66,18354,447.35606298
67,18355,474.689974441
68,18356,456.160671807
69,18357,425.777719608
70,18358,427.322387823
71,18359,417.221600885
72,18360,262.626876398
73,18361,209.589987299
74,18362,177.377684539
75,18363,146.560843751
76,18364,123.360705092
77,18365,110.4281796
78,18366,118.740279167
79,18367,137.707360943
80,18368,158.578618252
81,18369,204.918223309
82,18370,290.858145508
83,18371,322.454391478
84,18372,325.870706403
85,18373,288.207234472
86,18374,308.163740789
87,18375,304.27138198
88,18376,296.505332749
89,18377,303.412636152
90,18378,310.879991181
91,18379,329.875075538
92,18380,316.998555209
93,18381,295.884608862
94,18382,296.958041148
95,18383,289.938727419
96,18384,261.674199275
97,18385,208.829701113
98,18386,176.734248252
99,18387,146.029195334
100,18388,122.913215014
101,18389,110.027602166
102,18390,118.309549651
103,18391,137.207828473
104,18392,158.003375444
105,18393,204.174883913
106,18394,289.803059657
107,18395,321.28469047
108,18396,324.688612738
109,18397,287.161764782
110,18398,307.045879015
111,18399,303.167639709
112,18400,295.429761767
113,18401,302.312008976
114,18402,309.752276228
115,18403,328.678456052
116,18404,315.848645208
117,18405,294.811289552
118,18406,295.880827969
119,18407,288.886976751
120,18408,410.142301051
121,18409,327.315013783
122,18410,277.009317133
123,18411,228.88290233
124,18412,192.651430576
125,18413,172.454808523
126,18414,185.435748211
127,18415,215.056488748
128,18416,247.650965047
129,18417,320.01915717
130,18418,454.230849157
131,18419,503.574454825
132,18420,508.909686634
133,18421,450.090942508
134,18422,481.25685947
135,18423,475.17819372
136,18424,463.050016492
137,18425,473.8370972
138,18426,485.498806072
139,18427,515.163278017
140,18428,495.05411878
141,18429,462.080636943
142,18430,463.757007593
143,18431,452.795001252
144,18432,400.495045688
145,18433,319.615999285
146,18434,270.493579514
147,18435,223.499181116
148,18436,188.119936161
149,18437,168.398373544
150,18438,181.073979108
151,18439,209.997988664
152,18440,241.825786579
153,18441,312.491753822
154,18442,443.546554989
155,18443,491.72951382
156,18444,496.939251761
157,18445,439.504026095
158,18446,469.936866857
159,18447,464.001181825
160,18448,452.158280274
161,18449,462.691630212
162,18450,474.079035548
163,18451,503.045747873
164,18452,483.409590795
165,18453,451.211702206
166,18454,452.848641724
167,18455,442.144480707
168,18456,415.43029275
169,18457,331.535107813
170,18458,280.580816503
171,18459,231.833904664
172,18460,195.135298159
173,18461,174.678279727
174,18462,187.826583525
175,18463,217.829226221
176,18464,250.843945249
177,18465,324.14518524
178,18466,460.087277411
179,18467,510.067073437
180,18468,515.471092741
181,18469,455.893994673
182,18470,487.461735855
183,18471,481.304697467
184,18472,469.020150851
185,18473,479.946310101
186,18474,491.758374154
187,18475,521.805312089
188,18476,501.436884138
